Clave,Subdireccion,Eje,Indicador,Formula,Meta2026,Base2025,Fuente,Frecuencia,EstadoDato,Vs2025,Compartido,Origen,Nota,Ejemplo
C-06,Cadena de Suministros,02. Entregar mejor,Lead time real vs. pactado,Días de orden a recepción ÷ Días pactados con el proveedor,≤ 105%,Sin medición,Business Central · compras,Mensual,Parcial,Nuevo,,Propuesta Dirección,,El proveedor pactó 20 días de entrega y entregó a los 26. Lead time real = 130% del pactado. No cumple el 105%.
C-07,Cadena de Suministros,02. Entregar mejor,Rechazos de calidad en recepción,Líneas rechazadas o devueltas por calidad ÷ Líneas recibidas,≤ 2%,Sin medición,Business Central · recepciones,Mensual,Parcial,Nuevo,,Propuesta Dirección,Gestión de proveedores. Se registra por proveedor y alimenta el scorecard.,"Se recibieron 1,450 líneas en el mes; 41 se rechazaron por calidad o especificación. 2.8%. No cumple el 2%. Tres proveedores concentran 30 de los 41 rechazos."
C-08,Cadena de Suministros,03. Resultados financieros,Costo de la cadena sobre ingresos,Costo de ventas ÷ Ingresos netos,≤ 45%,48%,Business Central · P&L,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""04. Costo de la cadena"" (CV/Ing ≤ 45% · ahorro ≥ 2%).",Costo de ventas $52.3 MUSD sobre ingresos $108.9 MUSD = 48%. No cumple el 45%: cada punto porcentual son $1.1 MUSD.
C-09,Cadena de Suministros,03. Resultados financieros,Rotación de inventario,Costo de ventas ÷ Inventario promedio,≥ 3 vueltas/año,2.29,Power BI · Inventarios,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,,Costo de ventas $52.3 MUSD entre inventario promedio $22.8 MUSD = 2.29 vueltas al año. No cumple las 3 vueltas.
C-10,Cadena de Suministros,03. Resultados financieros,Ahorro en compras,Ahorro negociado ÷ Gasto base del año anterior,≥ 2%,Sin medición,Compras · registro de negociaciones,Trimestral,Por construir,Se mantiene,,Catálogo 2026,Catálogo 2026 fija ≥ 2%; programas de sourcing maduros capturan 3–8%. Dirección decide.,Gasto base 2025 en la categoría de refacciones $18 MUSD; en 2026 se negociaron precios que ahorran $540 KUSD a volumen igual = 3%. Cumple el 2% del catálogo; no cumple el 5% propuesto.
C-11,Cadena de Suministros,03. Resultados financieros,Inventario obsoleto y de lento movimiento,Valor sin movimiento > 12 meses ÷ Valor total del inventario,≤ 5%,Sin medición · TBX meta reducir $4 MUSD,Business Central · inventario,Trimestral,Parcial,Nuevo,,Propuesta Dirección,Benchmark oilfield 5–10%.,"De $22.8 MUSD de inventario, $2.1 MUSD no ha tenido movimiento en más de 12 meses. 9.2%. No cumple el 5%."
C-12,Cadena de Suministros,03. Resultados financieros,Concentración de gasto por proveedor,Gasto del proveedor principal de cada categoría crítica ÷ Gasto de la categoría,≤ 30%,Sin medición,Business Central · compras,Trimestral,Parcial,Nuevo,,Propuesta Dirección,"Gestión de proveedores. Concentración alta es poder de negociación del proveedor, no de SUMIMSA.","En la categoría de sellos y empaques, el proveedor principal facturó $1.9 MUSD de $4.2 MUSD = 45%. No cumple el 30%: ese proveedor fija precio y plazo."
C-13,Cadena de Suministros,04. Data correcta y actualizada,Confiabilidad de inventario,Registros exactos en conteo cíclico ÷ Registros contados,≥ 95%,89.5%,Power BI · Inventarios,Mensual,Existe en sistema,Ajustado,,Catálogo 2026,Catálogo 2026 publica ≥ 98%; Dirección la fija en 95% para 2026. Clase mundial 99%.,En el conteo cíclico de la semana se contaron 600 registros; 537 coincidieron con el sistema. 89.5%. No cumple el 95%.
C-14,Cadena de Suministros,04. Data correcta y actualizada,Catálogos y costos actualizados,Artículos con costo y catálogo vigentes ÷ Artículos activos (recurrentes al 100%),≥ 80%,60%,Business Central · maestro de artículos,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Artículos recurrentes al 100%. Catálogo 2026: ""06. Catálogos y costos actualizados"".","De 8,900 artículos, 5,340 tienen costo actualizado en los últimos 6 meses. 60%. No cumple el 80%. De los 1,200 artículos recurrentes, 1,080 están al día = 90%; no cumple el 100%."
C-15,Cadena de Suministros,04. Data correcta y actualizada,Maestro de artículos depurado,"Artículos sin duplicado, con familia, marca, unidad de medida y costo vigente ÷ Total de artículos activos",100%,60% (catálogos y costos actualizados),Business Central · maestro de artículos,Mensual,Parcial,Ajustado,,Propuesta Dirección,"Es el maestro del que Cadena es dueña. Base 2025 de ""catálogos y costos actualizados"".","De 8,900 artículos activos, 7,650 tienen familia, marca, unidad de medida y costo vigente sin duplicado. 86%. No cumple el 100%: hay 410 artículos duplicados con distinta clave."
C-16,Cadena de Suministros,04. Data correcta y actualizada,Maestro de proveedores vigente,"Proveedores con RFC validado, datos bancarios, contrato y revisión 69-B ÷ Proveedores activos",100%,Sin medición,Business Central · maestro de proveedores,Trimestral,Parcial,Nuevo,,Propuesta Dirección,Un proveedor en lista 69-B del SAT invalida la deducción.,"De 620 proveedores activos, 548 tienen RFC validado, datos bancarios, contrato y revisión 69-B. 88%. No cumple el 100%: 12 proveedores aparecen en lista 69-B del SAT."
C-17,Cadena de Suministros,04. Data correcta y actualizada,Recepciones registradas en sistema el mismo día,Recepciones capturadas en BC ≤ 24 h de la entrega física ÷ Recepciones,100%,Sin medición,Business Central · recepciones,Semanal,Parcial,Nuevo,,Propuesta Dirección,"Sin recepción en sistema, el inventario y la cuenta por pagar están mal.",Se recibieron 95 entregas físicas en la semana; 71 se capturaron en Business Central dentro de las 24 h. 75%. No cumple el 100%: 24 recepciones se registraron después y el inventario estuvo mal 3 días.
C-18,Cadena de Suministros,05. Control interno y procesos,Proveedores con contrato o acuerdo comercial,Proveedores estratégicos con contrato vigente ÷ Proveedores estratégicos,≥ 50%,34%,Power BI · Compras,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,,"De 80 proveedores estratégicos, 27 tienen contrato vigente. 34%. No cumple el 50%."
C-19,Cadena de Suministros,05. Control interno y procesos,Compras con orden de compra previa,Compras con OC autorizada antes de la recepción ÷ Total de compras,≥ 98%,Sin medición,Business Central · compras,Mensual,Parcial,Nuevo,,Propuesta Dirección,Cero compras de emergencia sin OC. Es el control que pidió Dirección.,"De 310 compras del mes, 288 tenían orden de compra autorizada antes de la recepción. 93%. No cumple el 98%: 22 compras entraron como emergencia sin OC."
C-20,Cadena de Suministros,05. Control interno y procesos,Cotizaciones comparativas en compras mayores,Compras arriba del umbral con 3 cotizaciones documentadas ÷ Compras arriba del umbral,100%,Sin medición,Business Central · compras,Mensual,Parcial,Nuevo,,Propuesta Dirección,,"De 18 compras arriba del umbral en el mes, 15 tienen tres cotizaciones documentadas. 83%. No cumple el 100%: tres compras se adjudicaron con una sola cotización."
C-21,Cadena de Suministros,05. Control interno y procesos,Evaluación de desempeño de proveedores (scorecard),"Proveedores estratégicos con scorecard trimestral de calidad, tiempo, precio y servicio ÷ Proveedores estratégicos",100% · ≥ 85 pts,Sin medición,Compras · scorecard,Trimestral,Por construir,Nuevo,,Propuesta Dirección,Gestión de proveedores. Sin evaluación formal no hay con qué negociar ni con qué dar de baja a un proveedor.,En el trimestre se evaluaron 74 de 80 proveedores estratégicos (93%) con promedio de 81 puntos. No cumple: faltan 6 evaluaciones y el promedio está debajo de 85. Ocho proveedores quedaron debajo de 70 y entran a plan de mejora.
C-22,Cadena de Suministros,05. Control interno y procesos,Penalizaciones aplicadas por incumplimiento,Incumplimientos de entrega o calidad con penalización cobrada o nota de crédito ÷ Incumplimientos documentados,≥ 90%,Sin medición,Compras · contratos,Mensual,Por construir,Nuevo,,Propuesta Dirección,"Gestión de proveedores. Aquí es donde ""meten goles"": el incumplimiento existe pero nadie lo cobra.",Se documentaron 48 incumplimientos de entrega o calidad en el mes; en 21 se cobró penalización o nota de crédito. 44%. No cumple el 90%: 27 incumplimientos quedaron sin consecuencia.
C-23,Cadena de Suministros,05. Control interno y procesos,Precio facturado igual a la orden de compra,Facturas cuyo precio y cantidad coinciden con la OC y la recepción ÷ Facturas recibidas (three-way match),≥ 99%,Sin medición,Business Central · CxP,Mensual,Parcial,Nuevo,,Propuesta Dirección,"Gestión de proveedores. Toda diferencia entre OC y factura se rechaza antes de pagar, no se corrige después.","De 420 facturas recibidas, 401 coinciden en precio y cantidad con la OC y la recepción. 95.5%. No cumple el 99%: 19 facturas traían precio mayor al de la orden y se pagaron."
C-24,Cadena de Suministros,05. Control interno y procesos,Homologación de proveedores nuevos,"Proveedores nuevos con expediente completo, referencias y visita antes de la primera OC ÷ Proveedores nuevos",100%,Sin medición,Compras · expediente de proveedor,Mensual,Parcial,Nuevo,,Propuesta Dirección,Gestión de proveedores. Ningún proveedor recibe orden sin estar homologado y en el maestro.,"Se dieron de alta 9 proveedores nuevos en el mes; 7 tenían expediente completo, referencias y visita antes de la primera orden. 78%. No cumple el 100%."
C-25,Cadena de Suministros,05. Control interno y procesos,Proveedor alterno para ítems críticos,Ítems clase A con al menos dos proveedores homologados ÷ Ítems clase A,100%,Sin medición,Business Central · maestro de artículos,Trimestral,Parcial,Nuevo,,Propuesta Dirección,"Gestión de proveedores. Sin alterno, el proveedor único fija precio y plazo.","De 310 ítems clase A, 248 tienen al menos dos proveedores homologados. 80%. No cumple el 100%: 62 ítems dependen de un solo proveedor."
C-26,Cadena de Suministros,05. Control interno y procesos,Anticipos a proveedores amortizados en plazo,Anticipos amortizados contra entrega en la fecha pactada ÷ Anticipos otorgados,100% · vencido 0,Sin medición,Business Central · CxP,Mensual,Parcial,Nuevo,,Propuesta Dirección,Gestión de proveedores. Un anticipo sin amortizar es financiamiento gratuito al proveedor.,Se otorgaron 6 anticipos en el trimestre por $480 KUSD; 4 se amortizaron contra entrega en fecha. Un anticipo de $120 KUSD lleva 45 días vencido sin entrega. No cumple: saldo vencido debe ser cero.
F-01,Finanzas,01. Vender más,Ciclo de estimación a cobro,Días de estimación aprobada a depósito del cliente,≤ 45 días,Sin medición · Pemex opera 60–120,Business Central · CxC,Mensual,Parcial,Nuevo,,Propuesta Dirección,Convertir la venta en caja es la forma en que Finanzas vende más.,Una estimación aprobada por Pemex el 5 de junio se depositó el 28 de julio = 53 días. No cumple los 45 días.
F-02,Finanzas,01. Vender más,Obra ejecutada no estimada (WIP),Valor de obra o servicio ejecutado sin estimar ÷ Ingreso del periodo,≤ 5%,Sin medición,Business Central · órdenes de servicio vs. estimaciones,Mensual,Por construir,Nuevo,,Propuesta Dirección,Más de 10% de WIP es la principal fuga de flujo en contratistas.,Ingreso del mes $9.1 MUSD; obra ejecutada sin estimar al cierre $820 KUSD = 9%. No cumple el 5%: hay $365 KUSD de más atorados sin cobrar.
F-03,Finanzas,01. Vender más,Estimaciones presentadas en plazo contractual,Estimaciones en fecha ÷ Estimaciones exigibles,≥ 98%,Sin medición,Control de obra,Mensual,Parcial,Nuevo,,Propuesta Dirección,La ventana de Pemex es preclusiva: fuera de plazo no se cobra.,"De 24 estimaciones exigibles en el mes, 23 se presentaron dentro de la ventana contractual. 96%. No cumple el 98%: la que salió tarde ($140 KUSD) se corre al siguiente periodo."
F-04,Finanzas,02. Entregar mejor,Cierre contable oportuno,Día hábil en que queda cerrada la contabilidad,≤ día 10,Día 10,Business Central,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,,"La contabilidad de julio quedó cerrada el día hábil 10. Cumple. Si cierra el día 12, no cumple."
F-05,Finanzas,02. Entregar mejor,Paquete de resultados a Dirección,"Día hábil en que se publica el reporte mensual (P&L por unidad, flujo, CxC, CxP)",≤ día 12,Sin medición,Power BI · Finanzas,Mensual,Parcial,Nuevo,,Propuesta Dirección,"Dos días después del cierre, sin excepción.","El cierre fue el día hábil 10 y el paquete con P&L por unidad, flujo, CxC y CxP se publicó el día hábil 13. No cumple el día 12."
F-06,Finanzas,03. Resultados financieros,Ciclo de conversión de efectivo,Días inventario + DSO − DPO,≤ 90 días,230 días,Business Central,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""02. Ciclo de conversión de efectivo"" (≥ 95% de cumplimiento). El cobro a Pemex es el driver; oilfield LatAm 90–120 días.",Días de inventario 159 + DSO 120 − DPO 49 = 230 días. No cumple los 90. Cada día de ciclo son aproximadamente $300 KUSD de capital de trabajo.
F-07,Finanzas,03. Resultados financieros,Control presupuestal · ahorro vs. año anterior,Ahorro en cuentas de gasto ÷ Gasto del año anterior,≥ 15%,14%,Business Central · presupuesto,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,,Gasto administrativo y de ventas 2025: $12.0 MUSD. Gasto 2026 a la misma base: $10.32 MUSD = 14% de ahorro. No cumple el 15% por $120 KUSD.
F-08,Finanzas,03. Resultados financieros,Proyección y seguimiento del flujo de efectivo,Reportes de flujo elaborados y con seguimiento en tiempo ÷ Programados · estimación por evento (cada pagaré),100% en tiempo,100%,Tesorería,Mensual,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""01. Proyección y seguimiento del flujo de efectivo"".",En el mes se programaron 4 reportes semanales de flujo y uno por el pagaré de $2 MUSD que vence en agosto; los 5 se entregaron en tiempo. 100%. Cumple.
F-09,Finanzas,03. Resultados financieros,Flujo de efectivo operativo sobre EBITDA,Flujo de efectivo operativo ÷ EBITDA,≥ 24%,44%,Business Central · flujo,Mensual,Existe en sistema,Se mantiene,,Propuesta Dirección,Del catálogo 2026. Mide cuánto EBITDA se vuelve caja.,EBITDA acumulado $19.4 MUSD; flujo de efectivo operativo $8.5 MUSD = 44%. Cumple el 24%.
F-10,Finanzas,04. Data correcta y actualizada,Catálogo de cuentas y centros de costo depurados,Cuentas sin movimiento > 12 meses cerradas y sin cuentas puente con saldo al cierre,100%,Sin medición,Business Central · contabilidad,Trimestral,Parcial,Nuevo,,Propuesta Dirección,Es el maestro del que Finanzas es dueña.,Al cierre del trimestre hay 14 cuentas sin movimiento en 12 meses todavía abiertas y una cuenta puente con saldo de $38 KUSD. No cumple: deben ser cero.
F-11,Finanzas,04. Data correcta y actualizada,Tableros financieros actualizados al cierre,"Tableros de P&L por unidad, flujo y CxC publicados ≤ 2 días hábiles del cierre",12 de 12 meses,Parcial,Power BI · Finanzas,Mensual,Parcial,Nuevo,,Propuesta Dirección,,El cierre fue el día hábil 10; el tablero de P&L por unidad se actualizó el día 11 (cumple) y el de CxC el día 14 (no cumple). El mes cuenta como no cumplido.
F-12,Finanzas,04. Data correcta y actualizada,"Rentabilidad por marca, familia y segmento",Segmentos con P&L publicado y conciliado ÷ Segmentos definidos,100%,90% (reporte en construcción),Power BI · Finanzas,Mensual,Parcial,Se mantiene,,Propuesta Dirección,Objetivo 2026 del catálogo corporativo.,Se definieron 12 segmentos (unidad por marca); 10 tienen P&L publicado y conciliado con contabilidad. 83%. No cumple el 100%.
F-13,Finanzas,05. Control interno y procesos,Check list de auditoría externa atendido,Pendientes de auditores externos atendidos ÷ Total marcado,100%,15%,Auditoría externa,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,,Los auditores externos dejaron 20 pendientes; se han atendido 3. 15%. No cumple. Es el nivel de cierre 2025.
F-14,Finanzas,05. Control interno y procesos,Conciliación de activo fijo,Activos conciliados físico vs. libros ÷ Activos registrados · inventario físico anual ejecutado,100%,60%,Business Central · activo fijo,Trimestral,Existe en sistema,Se mantiene,,Catálogo 2026,"Con inventario físico anual ejecutado. Catálogo 2026: ""06. Conciliación de activo fijo"".","De 1,800 activos en libros, 1,080 se conciliaron contra inventario físico. 60%. No cumple el 100%. Es el nivel de cierre 2025."
F-15,Finanzas,05. Control interno y procesos,Obligaciones fiscales presentadas en tiempo,"Declaraciones en plazo ÷ Declaraciones exigibles (ISR, IVA, DIOT, CFDI 4.0)",100%,Sin medición,Contabilidad · calendario fiscal,Mensual,Parcial,Nuevo,,Propuesta Dirección,El SAT sanciona desde el primer día.,"De 9 obligaciones exigibles en julio (ISR, IVA, DIOT, retenciones, CFDI de nómina), las 9 se presentaron en plazo. 100%. Cumple."
F-16,Finanzas,05. Control interno y procesos,Conciliaciones bancarias e intercompañías al cierre,Conciliaciones bancarias e intercompañías cerradas al día del cierre ÷ Requeridas,100%,Sin dato 2025,Business Central,Mensual,Existe en sistema,Nuevo,,Propuesta Dirección,,"De 11 cuentas bancarias y 4 intercompañías, 13 quedaron conciliadas al día del cierre. 87%. No cumple el 100%: dos cuentas se conciliaron una semana después."
TI-01,TI,01. Vender más,Disponibilidad de sistemas críticos,"Minutos disponibles ÷ Minutos del periodo (Business Central, Power BI, cotizador)",≥ 99.5%,Sin medición,Monitoreo de infraestructura,Mensual,Parcial,Se mantiene,,Catálogo 2026,99.5% equivale a 3.6 h de caída al mes.,"Julio tiene 44,640 minutos; Business Central estuvo caído 310 minutos (dos incidentes). Disponibilidad = 99.3%. No cumple el 99.5%: el límite son 223 minutos al mes."
TI-02,TI,01. Vender más,Adopción de pedidos de venta y órdenes de servicio en sistema,Unidades operativas que capturan pedidos y órdenes en BC ÷ Unidades operativas,100%,Sin medición,Business Central · logs de uso,Mensual,Parcial,Nuevo,,Propuesta Dirección,TI habilita lo que Operaciones debe cumplir: sin módulo en uso no hay pedidos al día.,"De 9 unidades operativas, 7 capturan pedidos de venta y órdenes de servicio en Business Central; 2 siguen en Excel. 78%. No cumple el 100%."
TI-03,TI,02. Entregar mejor,Cumplimiento de SLA en mesa de ayuda,Tickets resueltos dentro de SLA ÷ Tickets cerrados,≥ 95%,Sin medición,Mesa de ayuda,Mensual,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""02. SLA / MTTR de tickets"".",Se cerraron 410 tickets en el mes; 372 dentro del SLA. 91%. No cumple el 95%.
TI-04,TI,02. Entregar mejor,Tiempo de restauración (MTTR),Horas del reporte a servicio restablecido en severidad 1,≤ 1.5 h,Sin medición,Mesa de ayuda,Mensual,Parcial,Se mantiene,,Catálogo 2026,Catálogo 2026 fija MTTR ≤ 1.5 h para tickets; severidad 1 en operación 24/7.,Cinco incidentes en el mes sumaron 9.5 h de restauración. MTTR = 1.9 h. No cumple las 1.5 h: uno de ellos tardó 4 h.
TI-05,TI,02. Entregar mejor,Proyectos de TI entregados en tiempo,Proyectos cerrados dentro de fecha comprometida ÷ Proyectos cerrados,≥ 85%,Sin medición,Portafolio de TI,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,Se cerraron 6 proyectos en el trimestre; 5 dentro de la fecha comprometida. 83%. No cumple el 85%.
TI-06,TI,03. Resultados financieros,Automatización y adopción,Ahorro documentado por automatización ÷ Costo del proyecto · usuarios activos ÷ Usuarios habilitados,Adopción ≥ 90%,Sin dato 2025,Portafolio de TI,Trimestral,Por construir,Se mantiene,,Catálogo 2026,"El ahorro documentado debe ser mayor o igual al costo del proyecto. Catálogo 2026: ""06. Automatización & adopción"".","La automatización de conciliación bancaria costó $28 KUSD y ahorra 40 h al mes ($24 KUSD al año); recupera su costo en 14 meses. De 25 usuarios habilitados, 23 la usan = 92%. Cumple adopción."
TI-07,TI,03. Resultados financieros,Gasto de TI sobre ingresos,Gasto total de TI ÷ Ingresos,1.5 – 2.5%,Sin medición,Business Central · presupuesto TI,Trimestral,Existe en sistema,Nuevo,,Propuesta Dirección,Gartner energía 1.5–3%.,Gasto anual de TI $1.9 MUSD sobre ingresos $108.9 MUSD = 1.7%. Dentro del rango 1.5–2.5%. Cumple.
TI-08,TI,03. Resultados financieros,Licencias sin uso,Licencias pagadas sin actividad en 90 días ÷ Licencias pagadas,≤ 5%,Sin medición,Consolas de licenciamiento,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,"De 380 licencias pagadas de Microsoft 365, 31 no tienen actividad en 90 días. 8%. No cumple el 5%: son $9 KUSD al año sin uso."
TI-09,TI,04. Data correcta y actualizada,Integridad de datos maestros,Índice publicado mensualmente para los 5 maestros con dueño y plan de limpieza,≥ 95%,Sin medición,Business Central · script de calidad,Mensual,Por construir,Se mantiene,,Catálogo 2026,"Productos y costos ≥ 80%; clientes 100%. Catálogo 2026: ""05. Integridad de datos maestros"". TI construye y publica la medición; cada subdirección limpia su maestro.",Índice global 90%; productos y costos 78%; clientes 100%. No cumple: el global está debajo de 95% y productos debajo de 80%.
TI-10,TI,04. Data correcta y actualizada,Tableros publicados y actualizados en plazo,Actualizaciones de Power BI exitosas ≤ 24 h ÷ Actualizaciones programadas,≥ 98%,Sin medición,Power BI · historial de refresh,Semanal,Existe en sistema,Nuevo,,Propuesta Dirección,,Se programaron 124 actualizaciones de Power BI en el mes; 119 corrieron con éxito en menos de 24 h. 96%. No cumple el 98%: cinco fallaron por credenciales vencidas.
TI-11,TI,04. Data correcta y actualizada,Indicadores del esquema con dato de sistema,Indicadores alimentados desde BC o Power BI ÷ Indicadores del esquema,≥ 80%,35% (19 de 54),Este portal,Trimestral,Existe en sistema,Nuevo,,Propuesta Dirección,Hoy solo 19 de 54 indicadores salen de sistema; el resto es captura manual.,"De 54 indicadores del esquema de subdirectores, 19 se alimentan desde Business Central o Power BI. 35%. No cumple el 80%: 35 siguen siendo captura manual."
TI-12,TI,04. Data correcta y actualizada,Procesos core operados en sistema,"Procesos core (venta, compra, inventario, servicio, nómina) sin hojas paralelas ÷ Procesos core",100%,Sin medición,Auditoría de procesos con TI,Trimestral,Por construir,Nuevo,,Propuesta Dirección,Una hoja de Excel paralela es data desactualizada por definición.,"De 5 procesos core (venta, compra, inventario, servicio, nómina), 3 operan íntegramente en sistema; servicio y parte de venta siguen con hojas paralelas. 60%. No cumple el 100%."
TI-13,TI,05. Control interno y procesos,Respaldos y recuperación (DRP),Pruebas de restauración exitosas ÷ Pruebas programadas,100%,Sin medición,Infraestructura,Mensual,Parcial,Se mantiene,,Catálogo 2026,"Con prueba de restauración (DRP) ejecutada. Catálogo 2026: ""03. Respaldos & recuperación (DRP)"".",En el mes se ejecutaron 31 respaldos diarios y la prueba mensual de restauración recuperó Business Central en 3 h. 100%. Cumple.
TI-14,TI,05. Control interno y procesos,Ciberseguridad,Incidentes con impacto en operación · usuarios que superan la prueba de phishing,0 incidentes,Sin medición,Seguridad de TI,Trimestral,Parcial,Se mantiene,,Catálogo 2026,"EDR en 100% de equipos; ninguna vulnerabilidad crítica abierta más de 30 días. Catálogo 2026: ""04. Ciberseguridad"".",EDR instalado en 100% de los equipos; una vulnerabilidad crítica lleva 42 días sin parchar; cero incidentes con impacto. No cumple por la vulnerabilidad abierta más de 30 días.
TI-15,TI,05. Control interno y procesos,Revisión de accesos y bajas,Usuarios dados de baja en sistemas ≤ 24 h de la baja laboral ÷ Bajas · revisión trimestral de accesos ejecutada,100%,Sin medición,Directorio activo · CH,Mensual,Parcial,Nuevo,,Propuesta Dirección,,Hubo 14 bajas de personal en el mes; 12 usuarios se desactivaron dentro de las 24 h. 86%. No cumple el 100%: dos ex empleados tuvieron acceso al correo 4 días.
H-01,Capital Humano & Legal,01. Vender más,Vacantes técnicas y comerciales cubiertas en plazo,Vacantes cubiertas ≤ 30 días ÷ Vacantes autorizadas,≥ 90%,Sin medición,Reclutamiento,Mensual,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""03. Tiempo de cobertura de vacante"" < 30–45 días. Sin gente no se vende ni se opera.",Se autorizaron 12 vacantes técnicas y comerciales en el trimestre; 10 se cubrieron en 30 días o menos. 83%. No cumple el 90%: un técnico de top drive tardó 58 días.
H-02,Capital Humano & Legal,01. Vender más,Personal certificado para operar,Técnicos con las certificaciones que exige el contrato vigentes ÷ Técnicos que las requieren,100%,Sin medición,Registro de certificaciones,Mensual,Parcial,Nuevo,,Propuesta Dirección,Compartido con Operaciones: CH administra el registro.,"De 96 técnicos que requieren certificación por contrato, 91 la tienen vigente. 95%. No cumple el 100%: 5 técnicos no pueden salir a pozo."
H-03,Capital Humano & Legal,02. Entregar mejor,Ausentismo injustificado,Días de ausencia injustificada ÷ Días laborables de la plantilla,< 5%,Sin dato 2025,Nómina · asistencia,Semanal,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""02. Ausentismo injustificado"".","Plantilla de 660 personas por 22 días laborables = 14,520 días; hubo 810 días de ausencia injustificada. 5.6%. No cumple el 5%."
H-04,Capital Humano & Legal,02. Entregar mejor,Clima y desarrollo (eNPS),Promotores − Detractores en encuesta de clima,≥ 70%,Sin dato 2025,Encuesta de clima,Trimestral,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""05. Clima & desarrollo (eNPS)"".","En la encuesta contestaron 500 personas: 380 promotores, 40 detractores. eNPS = 68%. No cumple el 70%."
H-05,Capital Humano & Legal,02. Entregar mejor,Cumplimiento del plan de capacitación (DC-3),Cursos impartidos ÷ Cursos del programa STPS,≥ 90%,Sin medición,Capacitación,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,El programa STPS tiene 40 cursos en el trimestre; se impartieron 35 con constancia DC-3. 88%. No cumple el 90%.
H-06,Capital Humano & Legal,02. Entregar mejor,Nómina sin errores,Incidencias de nómina corregidas después de pago ÷ Recibos emitidos,≤ 0.5%,Sin medición,Nómina,Mensual,Parcial,Nuevo,,Propuesta Dirección,,"Se emitieron 1,320 recibos en la quincena; 9 tuvieron corrección después del pago. 0.7%. No cumple el 0.5%."
H-07,Capital Humano & Legal,02. Entregar mejor,Asuntos legales atendidos en plazo,"Contratos, convenios y requerimientos legales resueltos en la fecha comprometida ÷ Recibidos",≥ 95%,Sin medición,Legal,Mensual,Por construir,Nuevo,,Propuesta Dirección,Es la parte Legal de la subdirección.,"Legal recibió 22 asuntos en el mes (contratos, convenios, requerimientos); 20 se resolvieron en la fecha comprometida. 91%. No cumple el 95%."
H-08,Capital Humano & Legal,03. Resultados financieros,Costo total de nómina sobre ingresos,Nómina total con carga social ÷ Ingresos,≤ 13%,Meta 2026 del catálogo,Business Central + nómina,Mensual,Existe en sistema,Se mantiene,,Catálogo 2026,El workbook de KPIs 2026 fija 13%; el catálogo publicado dice ≤ 20%. Confirmar cuál rige.,Nómina anual con carga social $15.2 MUSD sobre ingresos $108.9 MUSD = 14%. No cumple el 13% del workbook; sí cumple el 20% del catálogo. Dirección define cuál rige.
H-09,Capital Humano & Legal,03. Resultados financieros,Rotación voluntaria anualizada,Bajas voluntarias ÷ Plantilla promedio,< 12%,Sin medición,Nómina,Mensual,Parcial,Se mantiene,,Catálogo 2026,"Catálogo 2026: ""01. Rotación de personal"" < 12–15%. Oilfield services México 15–20%.",Plantilla promedio 660; en el mes hubo 8 bajas voluntarias = 96 anualizadas = 14.5%. No cumple el 12%.
H-10,Capital Humano & Legal,03. Resultados financieros,EBITDA por headcount,EBITDA consolidado ÷ Plantilla promedio,"≥ $60,000 USD","$64,000 USD",Business Central + nómina,Trimestral,Existe en sistema,Se mantiene,,Propuesta Dirección,,"EBITDA consolidado $38.7 MUSD entre 660 personas = $58,600 USD. No cumple los $60,000 por $1,400 por persona."
H-11,Capital Humano & Legal,03. Resultados financieros,Contingencias laborales,Costo de demandas y finiquitos por litigio ÷ Presupuesto de contingencias,≤ presupuesto,Sin medición,Legal · Nómina,Trimestral,Parcial,Nuevo,,Propuesta Dirección,,"Presupuesto de contingencias $400 KUSD al año; al tercer trimestre se han pagado $310 KUSD en finiquitos por litigio y laudos. 78% del presupuesto. Cumple, pero con un trimestre por delante."
H-12,Capital Humano & Legal,04. Data correcta y actualizada,Maestro de empleados y organigrama en sistema,"Empleados con puesto, área, jefe, ubicación y sueldo vigentes en sistema ÷ Plantilla",100%,Sin medición,Nómina · Business Central,Mensual,Parcial,Nuevo,,Propuesta Dirección,Es el maestro del que CH es dueña. El export de nómina de hoy trae 8 guardias sin gerencia asignada.,"De 660 empleados, 612 tienen puesto, área, jefe, ubicación y sueldo vigentes en sistema. 93%. No cumple el 100%: el export de nómina trae 8 guardias sin gerencia asignada."
